-219,-204
-266,-119
-203,-22
-302.3,-17
-302,100
-259,101
-261,19.5
-160,23
-159.3,67.4
-225.6,67
-225.5,99.6
-150.4,101
-151,158
-232,161
-231,247
-147.6,247
-147,188
-87,119
-18.7,166
-42,248
2.6,289
48.4,149
102,179
40,268
228,327
237.4,299.5
78,258
132.6,180
103,99
122,91
191.4,128.4
137,199
193,232
202,199
287.6,277
346.5,255.5
335,202
268.5,236
219.6,194
210.4,102
298.4,133
230.6,-32.6
135.5,-32
168,77
27.5,2
122.6,-186
9.6,-255
-15,-184
47,-156
-26.4,7
6.5,31
-31,123
-107,78
-83,11
-23.3,-73
-88,-96.5
-140.6,-26
-186,-67
-129.6,-198
-214,-141
